Rank,TLA,crash_road,side_road,northing,easting,latitude,longitude,minorInjuryCrashes,seriousInjuryCrashes,fatalCrashes,totalInjuryCrashes,minorInjuries,seriousInjuries,fatalities,totalCasualties
79,Hastings District ,SH 2,Napier Road,5607200,1934180,-39.61974798,176.8928874,11,3,1,15,22,3,1,26
80,Dunedin City,Princes Street,Rattray Street,4916528,1406128,-45.87749855,170.5017234,18,7,0,25,22,7,0,29
81,South Waikato District ,SH 1,SH 29,5797126,1834488,-37.94321881,175.6684935,11,2,1,14,16,3,1,20
82,Auckland,Dairy Flat Highway,Green Road,5939513,1746955,-36.67866811,174.6446635,7,2,0,9,12,2,0,14
83,Selwyn District ,SH 1 (Main South Road),Dawsons Road,5176729,1556271,-43.56111392,172.4585502,7,3,0,10,13,3,0,16
84,Christchurch City,Marshland Road,Prestons Road,5186459,1572444,-43.47427689,172.6592921,7,5,0,12,8,5,0,13
85,Christchurch City ,SH 73 (Brougham Street),Burlington Street,5178319,1571132,-43.54752085,172.6426384,19,3,1,23,24,4,2,30
86,Wellington City,Ghuznee Street,Cuba Street,5427166,1748681,-41.29326695,174.7757321,13,3,0,16,14,3,0,17
87,Christchurch City,Riccarton Road,Ilam Road,5180095,1566054,-43.53131599,172.5798896,18,2,0,20,20,2,0,22
88,Nelson City,Waimea Road,Motueka St,5429138,1622796,-41.28887977,173.2722453,23,2,0,25,27,2,0,29
89,Western Bay Of Plenty District ,SH 2 (Tauranga East Road),Welcome Bay Road,5819854,1889502,-37.72285259,176.2846089,7,2,1,10,12,3,1,16
90,Hamilton City ,SH 1 (Cobham Drive),SH 1 (Normandy Avenue),5813454,1801471,-37.80409178,175.2885004,16,2,0,18,25,2,0,27
91,Selwyn District,Shands Road,Blakes Road,5175774,1559460,-43.56989277,172.4979633,7,2,1,10,10,3,1,14
92,Selwyn District,Jones Road,Curraghs Road,5176197,1555032,-43.56583024,172.4431656,6,1,0,7,12,1,0,13
93,Christchurch City,Shands Road,Marshs Road,5176578,1560009,-43.56268332,172.504821,3,3,1,7,9,4,1,14
94,Hamilton City ,SH 1 (Kahikatea Drive),SH 1 (Lorne Street),5813022,1800737,-37.80814403,175.2802887,24,4,0,28,32,4,0,36
95,Palmerston North City,Longburn Rongotea Road,No 1 Line,5528540,1816675,-40.36557491,175.5518998,4,4,1,9,9,6,2,17
96,Auckland,Victoria Street West,Hobson Street,5920542,1757065,-36.84799065,174.7616705,18,5,0,23,23,5,0,28
97,Hamilton City,Victoria Street,Boundary Street,5816430,1800299,-37.77754744,175.2743753,25,5,0,30,37,5,0,42
98,Christchurch City,Moorhouse Avenue,Gasson Street,5179156,1571132,-43.53998445,172.6426829,15,6,1,22,22,8,1,31
99,Christchurch City,Gasson Street,Byron Street,5178871,1571130,-43.54255053,172.642643,11,4,1,16,17,4,1,22
100,Auckland ,SH 20A (George Bolt Memorial Drive),Kirkbride Road,5906538,1759281,-36.97379812,174.7894605,25,5,1,31,38,6,1,45
